job,arm,run,task,reward,steps,tool_calls,tok_in,tok_out,cost_usd,failure_class,events_file
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,break-filter-js-from-html,1.0,27,11,349576,15094,0.634542,,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,break-filter-js-from-html,1.0,24,29,292259,12515,0.058123900000000006,,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,code-from-image,1.0,51,14,349903,5599,0.359058,,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,code-from-image,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,constraints-scheduling,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,constraints-scheduling,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,distribution-search,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,distribution-search,0.0,3,0,8609,16955,0.0265119,,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,extract-elf,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,extract-elf,0.0,8,8,65867,19812,0.0392447,,yes
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,fix-ocaml-gc,0.0,10,15,314107,31283,0.10782320000000001,,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,headless-terminal,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,headless-terminal,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,make-mips-interpreter,,51,59,1947337,28932,0.3082627,AGENT:CancelledError,yes
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,model-extraction-relu-logits,0.0,3,2,16220,29070,0.045721,,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,polyglot-rust-c,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,polyglot-rust-c,0.0,3,0,8335,17029,0.0265135,,yes
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,qemu-alpine-ssh,,,0,,,,INFRA:glibc-binary-cannot-execute,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,qemu-startup,,,0,,,,INFRA:glibc-binary-cannot-execute,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,regex-log,0.0,2,0,7861,16384,0.0254846,,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,tune-mjcf,,,0,,,,INFRA:docker-address-pool,no
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,video-processing,,19,16,265113,7170,0.06831876,AGENT:CancelledError,yes
DISCARDED-dev1-armB-claudecode,claude-code,DISCARDED-dev1,write-compressor,,,0,,,,INFRA:docker-address-pool,no
